餐饮美食	0	2	101	1	8	6	8	7	8	5	16	11	11	7	9	8	80	58	47	54	36	48	42	60	32	22	59	27	33	44	30	36	27	37	38	33	0.7123
教育学校	0	1	45	1	4	2	4	0	5	3	7	4	2	3	6	7	29	34	24	28	17	19	16	31	13	15	25	16	13	23	17	15	17	15	23	12	0.3219
文化艺术	0	1	81	1	3	7	7	4	10	7	12	8	6	3	7	9	55	55	46	48	31	35	36	49	27	17	42	22	27	33	25	22	22	29	34	31	0.5685
旅游景点	0	2	107	1	3	5	9	7	10	7	18	13	10	7	11	10	68	58	47	59	31	54	51	70	31	24	61	29	36	49	34	29	28	38	44	39	0.7534
购物商场	0	0	73	1	0	3	5	6	8	6	10	8	7	6	5	10	54	44	36	47	28	32	29	45	18	12	42	18	25	33	18	22	24	30	30	27	0.5068
休闲娱乐	0	0	58	2	2	1	2	4	4	4	13	4	6	6	5	9	34	29	24	26	13	46	25	40	22	4	32	17	14	31	15	17	16	24	18	22	0.4110
政府机关	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	2	3	2	3	1	1	2	2	0	1	2	1	1	2	2	2	1	2	0	1	0.0205
医疗卫生	0	0	3	0	0	0	0	0	1	0	0	0	1	1	0	0	2	2	3	2	0	1	3	2	0	0	1	1	0	3	1	1	1	0	1	0	0.0205
住宅小区	0	1	6	0	1	1	0	0	1	0	2	0	0	0	1	1	3	5	1	4	2	5	3	7	4	2	4	4	2	5	1	4	2	2	1	2	0.0479
生活服务	0	1	11	0	1	1	1	0	3	1	2	1	1	0	1	0	7	9	5	9	3	9	5	10	4	3	7	5	6	8	4	6	2	4	5	4	0.0822

